"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000256008.3",2,0,0,3,4,2
"ENSG00000256011.1",0,0,0,0,0,0
"ENSG00000256013.1",0,0,0,0,0,0
"ENSG00000256019.1",0,0,0,0,0,0
"ENSG00000256020.2",0,0,0,0,0,0
"ENSG00000256021.1",0,0,0,0,0,0
"ENSG00000256022.6",0,0,0,0,0,0
"ENSG00000256025.2",0,0,0,0,0,0
"ENSG00000256028.2",54,27,86,10,93,57
"ENSG00000256029.6",7,0,1,4,0,0
"ENSG00000256030.1",0,0,0,0,4,1
"ENSG00000256034.1",1,0,0,0,0,0
"ENSG00000256035.1",0,0,2,0,3,1
"ENSG00000256037.1",0,0,0,1,3,5
"ENSG00000256039.3",0,0,0,0,0,0
"ENSG00000256040.2",1,0,0,2,0,0
"ENSG00000256041.1",0,0,0,0,0,0
"ENSG00000256043.5",220,192,169,227,254,274
"ENSG00000256044.1",0,0,0,0,0,0
"ENSG00000256045.3",1,0,1,0,6,13
"ENSG00000256053.9",156,285,232,275,183,299
"ENSG00000256056.1",0,0,0,0,0,0
"ENSG00000256060.3",59,55,55,60,62,83
"ENSG00000256061.7",78,98,140,140,163,200
"ENSG00000256064.1",0,1,0,0,3,0
"ENSG00000256069.7",0,1,0,0,0,2
"ENSG00000256070.1",0,0,0,0,0,0
"ENSG00000256071.1",0,0,0,0,0,0
"ENSG00000256072.1",0,0,0,0,0,0
"ENSG00000256073.3",78,64,62,94,92,77
"ENSG00000256075.1",0,0,0,0,0,0
"ENSG00000256077.5",0,0,0,0,0,0
"ENSG00000256079.1",0,1,0,0,0,1
"ENSG00000256081.2",0,0,0,0,0,0
"ENSG00000256083.1",0,0,0,0,0,0
"ENSG00000256084.1",2,1,4,0,0,0
"ENSG00000256085.1",0,0,0,0,0,0
"ENSG00000256087.7",381,320,386,110,259,854
"ENSG00000256091.1",0,0,0,0,0,0
"ENSG00000256092.3",29,14,18,9,18,18
"ENSG00000256093.1",0,0,0,0,0,0
"ENSG00000256098.1",0,0,0,0,0,0
"ENSG00000256100.1",0,0,0,0,0,0
"ENSG00000256101.5",0,0,0,0,0,0
"ENSG00000256103.2",0,0,0,0,0,0
"ENSG00000256108.1",0,0,0,0,0,0
"ENSG00000256115.6",0,0,0,0,0,0
"ENSG00000256116.1",3,9,2,13,10,4
"ENSG00000256120.2",0,0,0,0,0,0
"ENSG00000256124.6",0,0,0,0,0,5
"ENSG00000256125.1",0,0,0,0,0,0
"ENSG00000256128.7",0,0,0,0,0,3
"ENSG00000256134.1",0,0,0,0,0,0
"ENSG00000256136.1",0,0,0,0,0,0
"ENSG00000256137.1",0,0,0,0,0,0
"ENSG00000256138.1",0,0,0,0,0,0
"ENSG00000256139.2",0,0,0,0,0,0
"ENSG00000256146.1",0,0,0,0,8,2
"ENSG00000256148.1",0,0,0,0,0,0
"ENSG00000256149.1",0,0,0,0,0,0
"ENSG00000256150.2",1,0,0,0,0,0
"ENSG00000256151.1",0,0,0,2,2,13
"ENSG00000256152.2",0,0,0,0,2,0
"ENSG00000256155.1",0,0,0,0,0,0
"ENSG00000256157.1",0,0,0,0,0,0
"ENSG00000256159.1",0,0,0,0,1,0
"ENSG00000256162.2",2,0,0,0,0,0
"ENSG00000256166.1",0,0,0,0,0,0
"ENSG00000256167.1",2,0,0,1,0,2
"ENSG00000256171.1",0,0,0,0,0,0
"ENSG00000256172.1",0,0,0,0,0,0
"ENSG00000256176.1",0,0,0,0,0,0
"ENSG00000256181.1",0,0,0,0,0,0
"ENSG00000256185.1",0,0,0,0,0,0
"ENSG00000256188.3",1,1,0,1,0,2
"ENSG00000256189.1",0,0,0,0,0,0
"ENSG00000256192.1",0,0,0,0,0,0
"ENSG00000256193.6",0,5,1,0,7,2
"ENSG00000256195.3",0,0,0,0,0,0
"ENSG00000256196.2",0,0,0,0,2,0
"ENSG00000256197.1",0,0,0,0,0,0
"ENSG00000256199.1",0,0,0,0,0,0
"ENSG00000256204.1",0,0,0,0,0,0
"ENSG00000256206.2",2,0,0,0,5,3
"ENSG00000256209.2",0,0,0,0,0,3
"ENSG00000256210.3",0,0,0,0,0,0
"ENSG00000256211.1",0,0,0,0,0,0
"ENSG00000256218.1",1,2,2,0,7,2
"ENSG00000256220.1",0,0,0,0,0,0
"ENSG00000256221.1",0,0,0,0,0,0
"ENSG00000256222.3",0,0,0,0,1,0
"ENSG00000256223.6",33,23,47,47,51,56
"ENSG00000256226.1",0,0,0,0,0,0
"ENSG00000256229.8",2,3,5,2,4,6
"ENSG00000256232.1",0,2,0,0,0,0
"ENSG00000256234.1",8,3,0,3,1,20
"ENSG00000256235.3",165,187,241,232,431,287
"ENSG00000256237.1",0,0,0,0,0,0
"ENSG00000256238.1",3,1,0,7,7,4
"ENSG00000256243.2",0,0,0,0,0,0
"ENSG00000256249.1",0,0,0,0,0,0
"ENSG00000256250.1",0,0,0,0,0,0
"ENSG00000256254.1",0,2,0,0,0,3
"ENSG00000256256.1",0,0,0,0,2,0
"ENSG00000256258.1",0,0,0,0,0,0
"ENSG00000256259.1",0,0,0,0,0,0
"ENSG00000256262.2",1,0,2,1,4,0
"ENSG00000256263.1",0,0,0,0,0,0
"ENSG00000256268.3",0,0,1,1,0,1
"ENSG00000256269.11",542,594,684,913,1136,666
"ENSG00000256271.1",5,0,0,0,1,0
"ENSG00000256273.1",0,0,0,0,0,0
"ENSG00000256274.1",2,1,1,0,2,5
"ENSG00000256278.1",0,0,0,0,2,0
"ENSG00000256280.1",1,1,0,0,0,0
"ENSG00000256281.1",0,0,0,0,0,0
"ENSG00000256282.2",0,3,0,0,1,0
"ENSG00000256283.1",0,0,0,0,0,0
"ENSG00000256285.1",0,0,0,0,0,0
"ENSG00000256286.2",0,0,0,0,0,0
"ENSG00000256287.1",0,0,0,2,3,0
"ENSG00000256288.1",39,30,21,40,45,67
"ENSG00000256292.2",0,0,2,0,0,0
"ENSG00000256293.2",0,0,0,0,0,0
"ENSG00000256294.8",18,39,44,47,51,43
"ENSG00000256298.1",0,0,0,0,0,0
"ENSG00000256299.1",0,0,0,0,0,0
"ENSG00000256306.1",0,0,0,0,0,0
"ENSG00000256310.1",0,0,0,0,0,0
"ENSG00000256311.1",0,0,0,0,0,0
"ENSG00000256312.1",1,0,0,0,1,6
"ENSG00000256314.1",0,0,0,0,0,1
"ENSG00000256315.1",0,0,0,0,0,0
"ENSG00000256321.6",0,0,0,0,0,0
"ENSG00000256325.1",0,0,0,0,1,0
"ENSG00000256331.1",0,0,0,0,0,0
"ENSG00000256338.2",2,1,2,1,4,1
"ENSG00000256339.1",0,0,0,0,0,0
"ENSG00000256340.9",5,29,14,8,11,38
"ENSG00000256341.1",1,0,1,1,0,2
"ENSG00000256343.8",0,0,0,0,0,0
"ENSG00000256346.1",0,0,0,0,0,0
"ENSG00000256347.1",0,0,0,0,2,0
"ENSG00000256349.1",10,0,106,92,0,0
"ENSG00000256350.1",0,0,0,0,0,0
"ENSG00000256351.1",0,0,0,0,0,0
"ENSG00000256353.1",0,0,0,0,0,0
"ENSG00000256355.1",0,0,0,0,0,0
"ENSG00000256356.1",0,0,0,0,0,1
"ENSG00000256357.1",0,0,0,0,0,0
"ENSG00000256358.1",0,0,0,0,0,0
"ENSG00000256361.1",1,0,5,0,2,0
"ENSG00000256362.2",0,0,0,0,0,0
"ENSG00000256364.1",3,6,0,0,6,0
"ENSG00000256371.1",0,0,0,0,0,0
"ENSG00000256372.1",0,0,0,0,0,0
"ENSG00000256377.6",0,0,0,0,2,1
"ENSG00000256378.1",0,0,0,0,0,0
"ENSG00000256379.2",0,0,0,0,0,0
"ENSG00000256381.1",0,0,0,0,0,0
"ENSG00000256385.1",0,0,0,0,0,0
"ENSG00000256389.2",0,0,0,0,0,0
"ENSG00000256394.3",0,0,0,0,0,0
"ENSG00000256399.1",0,0,0,0,2,0
"ENSG00000256400.1",0,0,0,0,0,0
"ENSG00000256403.1",0,0,0,0,0,0
"ENSG00000256407.2",0,0,0,0,3,1
"ENSG00000256417.1",0,0,0,0,5,3
"ENSG00000256420.1",0,0,0,0,0,0
"ENSG00000256422.7",2,1,1,1,3,0
"ENSG00000256424.2",0,0,0,0,0,0
"ENSG00000256427.2",1,0,0,1,0,6
"ENSG00000256433.3",9,15,6,11,22,19
"ENSG00000256436.1",1,0,0,0,1,2
"ENSG00000256440.1",0,0,0,0,0,0
"ENSG00000256441.1",0,0,0,0,0,0
"ENSG00000256442.2",0,0,0,0,0,0
"ENSG00000256443.1",1,0,2,1,1,8
"ENSG00000256448.5",0,1,0,0,2,1
"ENSG00000256450.1",0,0,0,0,5,0
"ENSG00000256452.1",0,0,0,0,0,0
"ENSG00000256453.2",32,19,11,19,67,48
"ENSG00000256458.1",0,0,0,0,0,0
"ENSG00000256462.1",0,0,0,0,0,0
"ENSG00000256463.10",0,0,0,0,0,0
"ENSG00000256464.1",0,0,0,0,1,0
"ENSG00000256465.1",0,0,0,0,0,0
"ENSG00000256469.1",0,0,0,0,0,0
"ENSG00000256473.1",0,0,0,0,0,0
"ENSG00000256474.1",0,0,0,0,0,0
"ENSG00000256480.1",0,0,0,0,0,0
"ENSG00000256481.1",0,1,0,0,0,0
"ENSG00000256482.1",0,0,0,0,0,0
"ENSG00000256484.1",0,0,0,0,0,0
"ENSG00000256494.1",0,0,0,0,0,0
"ENSG00000256496.1",0,0,0,0,0,0
"ENSG00000256499.2",0,0,0,0,0,0
"ENSG00000256500.6",0,3,0,0,0,0
"ENSG00000256502.1",0,0,0,0,0,0
"ENSG00000256504.2",0,0,0,0,0,0
"ENSG00000256508.2",0,0,0,0,0,0
"ENSG00000256512.1",0,0,0,0,0,0
"ENSG00000256513.1",0,0,0,0,0,0
"ENSG00000256514.1",0,0,26,6,0,211
"ENSG00000256518.3",0,0,0,0,0,0
"ENSG00000256525.8",102,212,254,119,284,283
"ENSG00000256533.1",0,0,0,0,0,0
"ENSG00000256537.5",659,670,770,682,683,637
"ENSG00000256538.2",3,8,0,1,2,0
"ENSG00000256540.2",0,0,0,0,0,0
"ENSG00000256542.2",2,10,0,6,1,5
"ENSG00000256546.3",0,0,5,21,13,3
"ENSG00000256551.2",0,0,0,0,0,0
"ENSG00000256552.2",0,0,3,0,2,11
"ENSG00000256553.1",0,0,0,0,1,0
"ENSG00000256557.1",0,0,0,0,0,0
"ENSG00000256560.1",0,0,0,0,0,0
"ENSG00000256563.2",0,0,0,0,0,0
"ENSG00000256564.1",0,0,6,2,1,0
"ENSG00000256566.1",1,6,0,7,0,12
"ENSG00000256568.2",0,0,0,0,0,0
"ENSG00000256569.1",0,0,0,0,0,0
"ENSG00000256571.1",0,0,0,0,2,0
"ENSG00000256574.8",0,1,0,1,0,0
"ENSG00000256576.3",3,5,0,1,2,10
"ENSG00000256577.2",0,0,0,0,0,0
"ENSG00000256581.1",0,0,0,0,0,0
"ENSG00000256582.1",0,0,0,0,0,0
"ENSG00000256588.1",0,2,0,0,1,0
"ENSG00000256589.2",0,0,0,0,0,0
"ENSG00000256590.2",0,0,0,0,0,0
"ENSG00000256591.5",109,68,15,160,100,32
"ENSG00000256594.9",43,51,44,39,46,80
"ENSG00000256596.1",0,0,0,0,0,0
"ENSG00000256597.3",0,0,0,0,0,0
"ENSG00000256603.1",0,0,0,0,0,0
"ENSG00000256609.1",0,0,0,0,0,0
"ENSG00000256612.8",0,2,0,2,1,0
"ENSG00000256614.1",0,0,0,0,0,0
"ENSG00000256615.1",0,0,0,0,0,0
"ENSG00000256616.3",3,0,0,0,0,0
"ENSG00000256618.3",2,6,4,0,2,5
"ENSG00000256625.1",3,3,1,2,0,0
"ENSG00000256626.1",0,0,0,0,0,0
"ENSG00000256627.1",0,0,0,0,0,0
"ENSG00000256628.3",40,29,32,59,47,43
"ENSG00000256630.1",0,0,0,0,0,0
"ENSG00000256632.3",0,0,0,0,0,0
"ENSG00000256633.1",0,0,0,0,0,0
"ENSG00000256637.8",0,0,0,0,1,0
"ENSG00000256640.1",0,0,0,0,0,0
"ENSG00000256642.1",0,0,0,0,0,0
"ENSG00000256643.1",1,0,0,0,0,0
"ENSG00000256646.8",153,10,21,228,28,0
"ENSG00000256650.1",0,0,0,0,0,0
"ENSG00000256651.1",0,0,0,0,1,0
"ENSG00000256654.4",0,0,0,0,0,0
"ENSG00000256657.1",0,0,0,0,0,0
"ENSG00000256658.1",0,0,0,0,0,0
"ENSG00000256659.2",0,0,0,0,0,0
"ENSG00000256660.7",0,0,0,0,0,0
"ENSG00000256661.1",0,0,0,0,0,0
"ENSG00000256663.1",10,3,1,9,6,2
"ENSG00000256664.1",80,57,105,85,45,82
"ENSG00000256667.6",85,105,123,30,141,201
"ENSG00000256670.1",0,0,0,0,0,0
"ENSG00000256671.7",19,0,3,14,17,9
"ENSG00000256672.1",0,0,0,0,0,0
"ENSG00000256673.1",0,0,0,0,0,0
"ENSG00000256674.1",0,0,0,0,0,0
"ENSG00000256678.1",0,0,0,0,0,0
"ENSG00000256681.1",0,0,0,0,0,1
"ENSG00000256682.2",0,0,0,0,4,2
"ENSG00000256683.7",0,0,1,2,3,14
"ENSG00000256684.1",0,0,0,0,0,0
"ENSG00000256686.1",0,0,0,0,0,0
"ENSG00000256690.1",1,2,3,0,6,5
"ENSG00000256691.1",0,0,0,0,0,0
"ENSG00000256694.1",0,0,0,0,0,0
"ENSG00000256695.2",0,0,0,0,0,0
"ENSG00000256699.1",0,0,0,0,0,0
"ENSG00000256704.3",0,0,0,0,0,0
"ENSG00000256705.3",0,0,0,0,0,1
"ENSG00000256706.1",0,0,0,0,0,0
"ENSG00000256708.1",0,0,0,0,0,0
"ENSG00000256709.2",0,0,0,0,0,0
"ENSG00000256712.1",0,0,1,0,0,1
"ENSG00000256713.8",0,0,0,0,7,0
"ENSG00000256714.1",0,0,0,0,0,0
"ENSG00000256717.1",0,0,0,0,0,0
"ENSG00000256720.1",0,0,0,0,0,0
"ENSG00000256721.1",0,0,0,0,0,0
"ENSG00000256723.1",0,0,0,0,0,0
"ENSG00000256732.2",0,0,0,0,0,0
"ENSG00000256733.2",0,0,0,0,0,0
"ENSG00000256734.1",0,0,0,0,0,2
"ENSG00000256737.1",0,0,0,0,0,0
"ENSG00000256739.1",0,0,0,0,0,0
"ENSG00000256742.1",0,0,0,0,1,1
"ENSG00000256745.1",0,0,0,0,0,0
"ENSG00000256746.5",0,0,0,0,0,0
"ENSG00000256747.1",0,0,0,0,0,0
"ENSG00000256748.1",0,0,0,0,0,0
"ENSG00000256750.2",0,0,0,0,0,0
"ENSG00000256751.6",178,140,153,78,131,142
"ENSG00000256752.1",0,0,0,0,0,0
"ENSG00000256756.1",0,0,0,0,0,0
"ENSG00000256757.1",0,0,0,0,0,0
"ENSG00000256762.1",0,0,0,0,0,0
"ENSG00000256769.1",0,0,0,0,0,0
"ENSG00000256771.5",46,68,58,59,64,66
"ENSG00000256774.1",0,0,0,0,0,0
"ENSG00000256777.1",0,0,0,0,0,0
"ENSG00000256779.2",0,0,0,0,0,0
"ENSG00000256783.1",0,0,0,0,0,0
"ENSG00000256789.1",0,0,0,0,2,0
"ENSG00000256797.1",0,0,0,0,0,0
"ENSG00000256799.1",0,0,0,0,0,0
"ENSG00000256802.3",32,37,43,120,22,44
"ENSG00000256803.1",0,0,0,0,0,0
"ENSG00000256804.1",0,0,0,0,0,0
"ENSG00000256806.6",12,28,30,34,29,40
"ENSG00000256810.2",0,0,0,0,0,0
"ENSG00000256811.1",0,0,0,0,0,0
"ENSG00000256812.2",0,0,0,0,0,0
"ENSG00000256813.1",0,0,0,1,0,0
"ENSG00000256814.1",0,0,0,0,0,0
"ENSG00000256817.1",0,0,0,0,0,0
"ENSG00000256824.1",0,0,0,0,0,0
"ENSG00000256825.4",0,0,0,0,0,0
"ENSG00000256826.1",0,0,0,0,0,0
"ENSG00000256827.1",0,0,0,0,0,0
"ENSG00000256835.1",0,0,0,0,0,0
"ENSG00000256837.1",0,0,0,0,0,0
"ENSG00000256843.1",0,0,0,0,0,0
"ENSG00000256844.1",0,0,0,0,0,0
"ENSG00000256847.1",0,0,0,0,0,0
"ENSG00000256849.1",0,0,0,0,0,0
"ENSG00000256851.1",0,0,0,0,0,0
"ENSG00000256852.1",0,0,0,0,0,0
"ENSG00000256861.1",0,0,0,0,0,0
"ENSG00000256862.4",2,1,0,0,0,0
"ENSG00000256870.3",0,0,0,0,0,0
"ENSG00000256875.2",0,0,0,0,0,0
"ENSG00000256879.1",0,0,0,0,0,0
"ENSG00000256884.1",0,0,0,0,0,0
"ENSG00000256888.6",0,0,0,0,0,0
"ENSG00000256892.2",0,0,0,0,0,0
"ENSG00000256894.1",9,11,5,10,10,4
"ENSG00000256896.1",0,0,0,0,0,0
"ENSG00000256897.1",0,4,1,0,2,0
"ENSG00000256898.1",0,0,0,0,0,0
"ENSG00000256902.1",0,0,0,0,0,0
"ENSG00000256904.1",0,0,0,0,0,0
"ENSG00000256906.1",0,0,0,0,0,0
"ENSG00000256912.1",0,0,0,0,0,0
"ENSG00000256913.1",3,5,1,2,8,2
"ENSG00000256915.2",0,0,0,0,0,0
"ENSG00000256916.1",0,1,0,0,0,0
"ENSG00000256917.1",0,0,0,0,0,0
"ENSG00000256923.1",0,0,0,0,0,0
"ENSG00000256925.3",0,0,0,0,0,0
"ENSG00000256928.1",0,0,0,0,0,0
"ENSG00000256937.1",0,0,0,0,1,0
"ENSG00000256940.3",61,102,82,121,146,72
"ENSG00000256943.1",0,0,0,0,2,4
"ENSG00000256944.1",0,0,0,0,0,0
"ENSG00000256947.1",0,0,0,0,0,0
"ENSG00000256948.1",0,0,0,0,0,0
"ENSG00000256950.2",0,2,2,0,7,0
"ENSG00000256951.1",0,0,0,0,0,0
"ENSG00000256955.2",0,0,0,0,0,0
"ENSG00000256963.1",0,0,0,0,0,0
"ENSG00000256966.6",0,0,0,0,6,0
"ENSG00000256967.1",5,3,2,5,17,4
"ENSG00000256968.1",0,0,0,0,0,1
"ENSG00000256969.2",19,9,14,10,23,13
"ENSG00000256971.2",0,0,0,0,0,0
"ENSG00000256972.1",0,0,0,0,0,0
"ENSG00000256973.1",1,0,0,0,0,1
"ENSG00000256975.1",0,0,0,0,0,0
"ENSG00000256977.13",12,12,6,0,0,4
"ENSG00000256980.5",0,0,0,1,8,2
"ENSG00000256981.1",0,3,0,2,0,2
"ENSG00000256982.3",4,3,2,0,1,17
"ENSG00000256984.2",0,0,1,2,3,0
"ENSG00000256986.2",0,0,0,0,0,0
"ENSG00000256987.1",0,0,0,0,0,0
"ENSG00000256988.2",0,0,0,0,0,0
"ENSG00000256994.2",0,0,0,0,0,0
"ENSG00000256995.8",0,0,0,0,0,0
"ENSG00000257000.1",0,0,0,0,0,0
"ENSG00000257002.1",1,0,0,0,0,0
"ENSG00000257004.1",0,0,0,0,0,0
"ENSG00000257005.1",0,0,0,0,0,0
"ENSG00000257008.7",0,0,0,0,0,0
"ENSG00000257009.1",0,0,0,0,0,0
"ENSG00000257012.1",0,0,0,0,0,0
"ENSG00000257016.1",0,0,0,0,0,0
"ENSG00000257017.10",2,0,0,0,1,2
"ENSG00000257021.1",0,0,0,0,0,0
"ENSG00000257022.1",0,0,0,0,0,0
"ENSG00000257023.1",1,0,2,0,1,0
"ENSG00000257025.1",0,0,0,0,0,0
"ENSG00000257027.1",7,7,20,20,14,10
"ENSG00000257035.1",0,0,0,0,0,0
"ENSG00000257037.1",0,0,0,0,0,0
"ENSG00000257038.1",7,3,8,2,7,9
"ENSG00000257042.1",0,0,0,0,0,0
"ENSG00000257043.1",0,0,1,2,11,3
"ENSG00000257045.1",0,0,0,0,0,0
"ENSG00000257046.5",35,59,44,14,34,26
"ENSG00000257048.1",0,0,0,0,0,0
"ENSG00000257052.1",0,0,0,1,0,2
"ENSG00000257056.3",0,0,0,0,0,0
"ENSG00000257057.3",0,1,4,0,9,3
"ENSG00000257058.1",0,0,0,0,0,0
"ENSG00000257060.8",0,0,0,0,1,0
"ENSG00000257062.6",0,0,1,0,0,0
"ENSG00000257065.1",0,0,0,1,0,0
"ENSG00000257067.6",0,0,0,0,0,0
"ENSG00000257069.6",0,2,0,0,0,0
"ENSG00000257070.1",1,0,0,0,2,1
"ENSG00000257074.3",0,0,1,0,0,2
"ENSG00000257075.1",0,0,0,0,0,0
"ENSG00000257078.1",0,0,0,0,0,0
"ENSG00000257083.7",0,0,0,0,0,0
"ENSG00000257084.1",124,112,97,90,98,107
"ENSG00000257086.1",43,77,55,31,30,73
"ENSG00000257087.1",0,0,0,0,0,0
"ENSG00000257093.7",349,311,392,352,400,284
"ENSG00000257094.1",0,0,0,0,0,0
"ENSG00000257095.1",0,0,0,0,0,0
"ENSG00000257096.1",0,0,0,0,0,0
"ENSG00000257097.1",0,0,0,0,1,2
"ENSG00000257101.1",0,0,0,0,0,0
"ENSG00000257103.9",1726,1675,1849,3235,2074,1586
"ENSG00000257105.1",0,0,0,0,0,0
"ENSG00000257108.2",2,3,5,0,2,17
"ENSG00000257109.3",0,0,0,0,0,0
"ENSG00000257113.1",0,0,0,0,0,0
"ENSG00000257114.3",0,0,0,0,0,0
"ENSG00000257115.2",0,0,0,0,0,0
"ENSG00000257119.1",0,0,0,0,0,0
"ENSG00000257120.1",0,0,0,0,0,0
"ENSG00000257121.1",0,0,0,0,0,1
"ENSG00000257122.5",66,65,85,106,141,79
"ENSG00000257124.2",0,0,0,0,0,0
"ENSG00000257125.1",0,0,0,0,0,0
"ENSG00000257126.6",0,0,0,0,0,0
"ENSG00000257127.6",0,0,1,0,0,0
"ENSG00000257128.1",0,0,0,0,0,0
"ENSG00000257129.1",0,0,0,0,0,0
"ENSG00000257135.8",8,4,13,2,21,11
"ENSG00000257137.7",0,0,0,0,0,0
"ENSG00000257138.1",0,0,0,0,0,0
"ENSG00000257139.1",0,0,0,4,0,1
"ENSG00000257142.1",0,0,0,1,0,0
"ENSG00000257146.1",0,0,0,0,0,0
"ENSG00000257150.4",1,1,0,0,0,0
"ENSG00000257155.1",0,0,0,0,0,0
"ENSG00000257157.1",0,0,0,0,0,0
"ENSG00000257159.1",0,0,0,0,2,2
"ENSG00000257162.6",0,0,0,0,0,0
"ENSG00000257164.5",0,0,0,0,0,0
"ENSG00000257165.5",0,0,0,0,0,0
"ENSG00000257167.3",63,34,59,63,102,59
"ENSG00000257169.1",0,1,1,0,0,2
"ENSG00000257171.2",0,0,0,0,0,0
"ENSG00000257173.1",0,0,0,0,0,0
"ENSG00000257175.2",0,0,0,0,0,0
"ENSG00000257176.3",31,6,7,25,27,13
"ENSG00000257178.5",3,5,4,1,0,12
"ENSG00000257179.1",0,0,0,0,0,2
"ENSG00000257180.1",0,0,0,0,0,0
"ENSG00000257181.1",6,2,0,0,32,29
"ENSG00000257183.1",0,0,0,0,0,0
"ENSG00000257184.3",0,0,0,0,6,0
"ENSG00000257185.2",0,0,0,0,0,0
"ENSG00000257191.1",0,0,0,0,0,0
"ENSG00000257193.1",0,0,0,0,0,0
"ENSG00000257194.2",0,0,1,0,0,1
"ENSG00000257195.1",4,2,0,0,2,0
"ENSG00000257198.6",0,0,0,0,1,0
"ENSG00000257199.2",0,0,0,0,0,0
"ENSG00000257202.1",0,0,0,0,0,0
"ENSG00000257207.5",0,0,0,0,1,0
"ENSG00000257210.1",0,0,0,2,0,0
"ENSG00000257218.6",576,629,561,653,650,642
"ENSG00000257219.6",0,1,1,0,0,1
"ENSG00000257220.1",0,0,0,0,0,0
"ENSG00000257221.4",0,0,0,0,0,0
"ENSG00000257222.1",0,1,6,1,1,3
"ENSG00000257224.1",0,0,0,0,1,0
"ENSG00000257225.1",3,0,0,0,1,2
"ENSG00000257226.2",0,0,0,0,0,0
"ENSG00000257228.5",0,0,0,0,0,0
"ENSG00000257230.1",0,0,0,0,0,0
"ENSG00000257231.1",0,0,1,0,1,0
"ENSG00000257235.1",0,0,0,0,0,0
"ENSG00000257237.1",0,0,0,0,0,0
"ENSG00000257239.1",0,0,0,0,0,0
"ENSG00000257241.1",0,0,0,0,1,0
"ENSG00000257242.9",6,1,6,8,29,25
"ENSG00000257243.1",2,4,4,0,3,0
"ENSG00000257246.2",8,10,7,0,15,17
"ENSG00000257252.6",0,1,0,1,2,2
"ENSG00000257253.2",0,0,0,0,0,0
"ENSG00000257254.1",0,0,0,0,0,0
"ENSG00000257256.1",0,0,0,0,0,3
"ENSG00000257258.2",3,0,0,0,0,1
"ENSG00000257259.3",1,0,0,0,0,2
"ENSG00000257261.7",64,54,56,42,38,59
"ENSG00000257262.1",0,0,0,0,0,0
"ENSG00000257264.5",1,2,0,0,1,3
"ENSG00000257265.1",0,0,0,0,1,0
"ENSG00000257267.4",466,569,598,546,599,652
"ENSG00000257268.1",0,0,0,0,0,0
"ENSG00000257270.1",1,1,4,0,5,0
"ENSG00000257271.1",0,0,0,0,0,0
"ENSG00000257272.1",0,0,0,0,1,0
"ENSG00000257275.6",1,0,0,0,4,0
"ENSG00000257277.2",0,0,0,0,0,0
"ENSG00000257279.1",1,2,3,1,7,10
"ENSG00000257281.1",0,0,0,0,0,0
"ENSG00000257283.1",1,0,0,0,0,0
"ENSG00000257284.1",0,0,0,0,0,0
"ENSG00000257285.6",4,13,14,2,11,22
"ENSG00000257286.1",0,0,0,0,0,0
"ENSG00000257287.1",0,0,0,0,0,0
"ENSG00000257288.1",0,0,0,0,0,0
"ENSG00000257289.1",0,0,0,0,0,0
"ENSG00000257292.2",0,0,0,0,0,0
"ENSG00000257294.2",0,1,1,1,3,5
"ENSG00000257296.1",0,0,0,0,0,0
"ENSG00000257298.1",15,16,20,5,21,13
"ENSG00000257300.1",0,0,0,0,0,0
"ENSG00000257302.1",6,1,5,13,11,2
"ENSG00000257303.3",21,28,33,22,50,46
"ENSG00000257307.1",0,0,0,1,0,0
"ENSG00000257308.1",0,0,0,0,0,0
"ENSG00000257310.1",0,0,0,0,4,4
"ENSG00000257315.3",78,187,105,67,13,71
"ENSG00000257316.1",0,0,0,0,0,0
"ENSG00000257319.1",0,0,0,0,0,0
"ENSG00000257322.7",0,0,0,2,0,0
"ENSG00000257323.1",0,0,0,0,0,0
"ENSG00000257325.1",0,0,0,0,0,0
"ENSG00000257327.1",7,3,2,0,3,1
"ENSG00000257329.1",0,0,0,1,1,0
"ENSG00000257331.1",0,0,0,0,0,0
"ENSG00000257332.1",0,0,0,0,0,0
"ENSG00000257335.8",10,7,15,7,19,20
"ENSG00000257336.1",0,0,0,0,0,0
"ENSG00000257337.8",79,22,42,83,108,69
"ENSG00000257341.5",28,5,10,4,8,0
"ENSG00000257342.1",1,0,3,0,0,0
"ENSG00000257343.1",0,0,0,0,0,0
"ENSG00000257345.2",0,0,1,0,0,0
"ENSG00000257346.1",0,0,0,0,0,0
"ENSG00000257350.1",0,0,0,0,0,0
"ENSG00000257354.2",36,12,21,64,103,61
"ENSG00000257355.1",0,0,0,0,0,0
"ENSG00000257356.2",0,0,0,0,0,0
"ENSG00000257359.1",0,0,0,0,0,0
"ENSG00000257360.1",0,0,0,0,0,0
"ENSG00000257364.1",0,0,1,0,1,0
"ENSG00000257365.8",243,180,254,317,178,206
"ENSG00000257366.1",0,0,0,0,0,0
"ENSG00000257368.2",0,0,2,0,0,0
"ENSG00000257373.1",0,0,0,0,0,0
"ENSG00000257376.1",1,0,1,0,0,0
"ENSG00000257378.1",0,0,0,0,0,0
"ENSG00000257379.1",20,0,0,18,14,3
"ENSG00000257384.1",0,0,0,0,0,0
"ENSG00000257386.1",0,0,0,0,0,0
"ENSG00000257389.1",0,0,0,0,0,0
"ENSG00000257390.5",1,3,4,4,1,6
"ENSG00000257391.1",9,8,7,19,10,10
"ENSG00000257392.1",0,0,0,0,0,0
